federal_district,region,Название_полигона,Вид_организации,area_km2,population,Количество_организаций,density_per_1000km2,density_per_100k
Центральный,Воронежская обл,Воронежская,Операторы информационных систем с выпуском цифровых финансовых активов,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Объединения субъектов страхового дела,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Информационные агентства,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Негосударственные пенсионные фонды НПФ,52216.0,2273417.0,1,0.019151218017465912,0.0439866509311754
Центральный,Воронежская обл,Воронежская,Операторы товарных поставок,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Участники эксперимента по партнерскому финансированию,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Биржи,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Клиринговые организации,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО Микрофинансовых организаций,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Аккредитованные организации осуществляющие аттестацию специалистов финансового рынка,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Операторы финансовых платформ,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Бюро кредитных историй,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО Страховых организаций и иностранных страховых организаций,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО Сельскохозяйственных кредитных потребительских кооперативов,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Общества взаимного страхования,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Центральный депозитарий,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Репозитарии,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Акционерные инвестиционные фонды,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Центральные контрагенты,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО Негосударственных пенсионных фондов,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Саморегулируемые организации актуариев,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО Инвестиционных советников,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Кредитные рейтинговые агентства ,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Форекс-дилеры,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО Страховых брокеров,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО Кредитных потребительских кооперативов,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО акционерных инвестиционных фондов и управляющих компаний ИФ ПИФ и НПФ,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО Брокеров,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО Дилеров,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО Регистраторов,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Операторы обмена цифровых финансовых активов,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО Форекс-дилеров,52216.0,2273417.0,0,0.0,0.0
Центральный,Ивановская обл,Ивановская,Все организации,21437.0,905900.0,296,13.807902225124783,32.67468815542554
